taxonID	scientificName	class	vernacularName	language
5190303	Monodonta lineata (da Costa, 1778)	Gastropoda	lined top shell	en
4358195	Osilinus lineatus (da Costa, 1778)	Gastropoda	thick top shell	en
12119741	Sorex albibarbis (Cope, 1862)	Mammalia	Eastern Water Shrew	en
12105209	Sorex navigator (Baird, 1858)	Mammalia	Western Water Shrew	en
8302810	Munza basimacula (Walker, 1850)	Insecta	Small Broadborder Cicada	en
6196702	Tethea ocularis octogesimea Hübner, 1786	Insecta	Figure of Eighty	en
8160848	Chremistica mixta (Kirby, 1891)	Insecta	Leafhopper	en
9497766	Cicadetta montana (Scopoli, 1772)	Insecta	New Forest Cicada	en
2493235	Stenostira scita (Vieillot, 1818)	Aves	Fairy Flycatcher	en
6178706	Coeligena bonapartei consita Wetmore & Phelps Jr, 1952	Aves	Golden-bellied Starfrontlet (Perija)	en
7192848	Coeligena bonapartei bonapartei	Aves	Golden-bellied Starfrontlet (Golden-bellied)	en
9023639	Dixiphia pipra anthracina	Aves	White-crowned Manakin (Zeledon's)	en
4825966	Phascolomys krefftii Owen, 1872	Mammalia	northern hairy-nosed wombat	en
8986106	Macropus unguifer Gould, 1841	Mammalia	northern nail-tail wallaby	en
9226874	Pseudopipra pipra (Linnaeus, 1758)	Aves	White-crowned Manakin	en
5846210	Dixiphia pipra (Linnaeus, 1758)	Aves	White-crowned Manakin	en
6178705	Coeligena bonapartei eos (Gould, 1848)	Aves	Golden-bellied Starfrontlet (Golden-tailed)	en
7674878	Cacama valvata (Uhler, 1888)	Insecta	cactus dodger	en
4825960	Phascolomys latifrons Owen, 1845	Mammalia	southern hairy-nosed wombat	en
5844978	Chelidorhynx hypoxantha (Blyth, 1843)	Aves	Yellow-bellied Fairy-Fantail	en
7682076	Trismarcha sirius (Distant, 1899)	Insecta	Small Widehead Cicada	en
6179445	Ducula myristicivora myristicivora	Aves	Spice Imperial-Pigeon (Pink-naped)	en
6179446	Ducula myristicivora geelvinkiana (Schlegel, 1873)	Aves	Spice Imperial-Pigeon (Gray-naped)	en
8338270	Ceratopipra mentalis (P.L.Sclater, 1857)	Aves	Red-capped Manakin	en
11433967	Pyropsalta rhythmica Moulds & Marshall, 2022	Insecta	sprinkler cicada	en
4299219	Anthanassa texana seminole (Skinner, 1911)	Insecta	Seminole Crescent	en
9592223	Megatibicen auletes (Germar, 1834)	Insecta	Northern Dusk-Singing Cicada	en
2475509	Alcedo leucogaster (Fraser, 1843)	Aves	White-bellied Kingfisher	en
8375114	Oxypleura lenihani Boulard, 1985	Insecta	Coastal Sharpcollar Cicada	en
2219149	Grandidierella japonica Stephensen, 1938	Malacostraca	Gammarid amphipod	en
2219155	Grandidierella bispinosa Schellenberg, 1938	Malacostraca	Gammarid	en
7836365	Magicicada tredecassini Alexander & Moore, 1962	Insecta	13-year cicada	en
5792025	Magicicada septendecula Alexander & Moore, 1962	Insecta	Decula Periodical Cicada	en
5792026	Magicicada septendecim (Linnaeus, 1758)	Insecta	periodical cicada	en
7500492	Magicicada cassini (Fisher, 1852)	Insecta	Cassin's 17-year cicada	en
2078671	Kikihia laneorum Fleming, 1984	Insecta	Lanes' cicada	en
